latitude,longitude,neo_altitude,num_satellites,hdc_temperature,bmp_temperature,humidity,pressure,mpu_altitude,time
-33.3685,-70.69035166666667,514.9,05,28.02,29.38,48.51,959.18,0.03,"15/02, 16:08:46"
-33.36828833333333,-70.69026166666667,521.8,05,27.87,29.28,48.14,959.19,0.0,"15/02, 16:08:56"
-33.368293333333334,-70.69025666666667,538.8,06,27.92,29.21,48.24,959.14,0.0,"15/02, 16:09:06"
-33.36844833333333,-70.690295,529.7,05,27.93,29.22,48.63,959.13,-0.0,"15/02, 16:09:16"
-33.368656666666666,-70.69032,525.2,06,27.85,29.25,48.43,959.16,0.02,"15/02, 16:09:26"
-33.36871,-70.690325,529.5,04,27.74,29.12,48.14,959.18,-0.0,"15/02, 16:09:36"
-33.368585,-70.69033833333333,527.9,04,27.74,29.04,48.14,959.15,0.0,"15/02, 16:09:46"
-33.368606666666665,-70.690355,524.8,04,27.74,29.03,48.53,959.16,-0.0,"15/02, 16:09:56"
-33.368768333333335,-70.69038,516.4,04,27.67,29.01,48.36,959.16,0.09,"15/02, 16:10:07"
-33.368905,-70.69038833333333,520.5,04,27.63,28.9,48.26,959.13,0.0,"15/02, 16:10:17"
-33.369005,-70.690385,525.9,05,27.6,28.9,48.26,959.18,0.0,"15/02, 16:10:27"
-33.368671666666664,-70.69029333333333,533.3,06,27.59,28.87,48.36,959.16,-0.0,"15/02, 16:10:37"
-33.36857166666667,-70.6903,511.3,06,27.58,28.88,48.65,959.15,0.03,"15/02, 16:10:47"
-33.36850666666667,-70.69033,503.1,05,27.39,28.74,48.18,959.13,0.0,"15/02, 16:10:57"
-33.368451666666665,-70.69031666666666,497.1,05,27.3,28.62,48.18,959.12,0.0,"15/02, 16:11:07"
-33.368476666666666,-70.690315,505.1,06,27.37,28.59,48.38,959.11,-0.0,"15/02, 16:11:17"
-33.368536666666664,-70.69028666666667,529.5,06,27.35,28.6,48.48,959.16,0.04,"15/02, 16:11:27"
-33.36858,-70.69027166666666,530.2,06,27.3,28.56,48.68,959.11,0.06,"15/02, 16:11:37"
-33.36852833333333,-70.69026666666667,538.4,06,27.35,28.58,48.97,959.17,-0.0,"15/02, 16:11:47"
-33.368431666666666,-70.69029166666667,511.5,06,27.26,28.54,49.17,959.13,0.0,"15/02, 16:11:57"
-33.36822,-70.69028166666666,514.7,04,27.27,28.49,49.07,959.12,0.01,"15/02, 16:12:07"
-33.36812166666667,-70.69028166666666,505.8,05,27.32,28.5,49.47,959.14,0.08,"15/02, 16:12:17"
-33.36828333333333,-70.690305,522.6,06,27.29,28.53,49.27,959.18,0.0,"15/02, 16:12:28"
-33.36828666666667,-70.69028166666666,530.6,04,27.25,28.49,49.17,959.12,0.0,"15/02, 16:12:39"
-33.368215,-70.69027333333334,535.3,04,27.21,28.46,49.19,959.22,-0.0,"15/02, 16:12:50"
-33.368368333333336,-70.69029333333333,538.3,06,26.97,28.21,49.32,959.13,0.0,"15/02, 16:13:00"
-33.36839,-70.69027,537.7,06,27.07,28.23,49.89,959.14,0.0,"15/02, 16:13:11"
-33.36839,-70.69026166666667,540.4,05,27.07,28.26,49.69,959.16,0.08,"15/02, 16:13:21"
-33.36834,-70.69027166666666,537.1,03,27.05,28.27,49.69,959.16,0.0,"15/02, 16:13:31"
-33.368298333333335,-70.69028166666666,527.2,04,27.05,28.23,49.59,959.11,0.0,"15/02, 16:13:41"
-33.368425,-70.69029833333333,518.6,06,27.07,28.26,49.69,959.13,0.0,"15/02, 16:13:51"
-33.36843666666667,-70.69031166666667,516.5,06,27.07,28.26,49.69,959.09,0.11,"15/02, 16:14:01"
